,ticker, liabilities, equity, netincome, freecashflow, beta, ROE, debttoequity, assets, sector
376,PXD,5729,NA,833,-731,1.03,NA,NA,3010,"Basic Materials"
377,PNC,333255,47513,5338,NA,1.1766,0.11234819944015322,7.013975122598026,NA,"Financial"
378,RL,2352,3300,-99,742,0.981,-0.03,0.7127272727272728,2954,"Consumer Goods"
379,PPG,NA,NA,NA,1276,0.994,NA,NA,NA,"Basic Materials"
380,PPL,NA,NA,1128,NA,0.3947,NA,NA,NA,"Utilities"
381,PFG,241092,12849,2310,NA,1.4299,0.17978052766752275,18.763483539575063,NA,"Financial"
382,PG,65222,55184,15326,10865,0.5281,0.27772542766019137,1.1819005508843143,26494,"Consumer Goods"
383,PGR,29416,9285,1592,NA,0.8333,0.17145934302638666,3.1681206246634357,NA,"Financial"
384,PLD,13850,15631,1652,-957,0.7678,0.10568741603224362,0.886059753054827,NA,"Financial"
385,PRU,777852,54069,NA,NA,1.4128,NA,14.386284192420796,NA,"Financial"
386,PEG,28869,13847,NA,347,0.3891,NA,2.084855925471221,3312,"Utilities"
387,PSA,1793,8940,1442,1359,0.3815,0.16129753914988815,0.2005592841163311,NA,"Financial"
388,PHM,5533,4154,447,852,0.702,0.10760712566201251,1.3319691863264325,7453,"Industrial Goods"
389,PVH,6263,4804,549,359,1.0566,0.1142797668609492,1.3037052456286429,2880,"Consumer Goods"
390,QRVO,NA,4897,-17,NA,0.8993,-0.0034715131713293854,NA,1462,"Technology"
391,PWR,2689,3792,315,183,1.3388,0.08306962025316456,0.7091244725738397,2870,"Industrial Goods"
392,QCOM,34740,30746,2466,NA,0.9106,0.0802055551941716,1.1299030768230014,43593,"Technology"
393,DGX,NA,NA,772,NA,0.831,NA,NA,NA,"Healthcare"
394,RJF,29302,NA,636,NA,1.5148,NA,NA,NA,"Financial"
395,RTN,20897,9963,2024,NA,0.8644,0.20315166114624109,2.097460604235672,11326,"Industrial Goods"
396,O,NA,7372,319,510,0.3325,0.04327183939229517,NA,NA,"Financial"
397,RHT,3288,1247,NA,345,1.1221,NA,2.63672814755413,2316,"Technology"
398,REG,4454,6692,176,NA,0.5561,0.02630005977286312,0.6655708308427973,NA,"Financial"
399,REGN,NA,NA,NA,NA,1.2407,NA,NA,NA,"Healthcare"
400,RF,NA,NA,1263,NA,1.3502,NA,NA,NA,"Financial"
401,RSG,13188,7959,1278,NA,0.6822,0.16057293629852998,1.6569920844327177,1437,"Industrial Goods"
402,RMD,NA,NA,NA,331,0.9349,NA,NA,NA,"Healthcare"
403,RHI,762,1105,291,255,1.3899,0.26334841628959277,0.6895927601809955,1432,"Services"
404,ROK,4498,2664,826,NA,1.2045,0.31006006006006004,1.6884384384384385,4421,"Industrial Goods"
